9.492703261558798289e+00 1.116360638204449884e+01 1.001841150424052351e+01 1.137779678882069057e+01 4.433796194906174826e+00 1.265572094181909080e+01
1.506134187236133215e+01 5.966313290265279790e+00 9.781718099983129022e+00 1.551157624617475150e+01 1.005699648122984335e+01 1.625257687128365447e+01
9.826501760370629057e+00 8.144722662431332694e+00 1.559453522712321316e+01 5.252861542390266258e+00 1.465487397017262694e+01 1.082303670767959325e+01
8.954195564187925171e+00 8.732188469723411117e+00 1.131182505126459681e+01 1.257878691385090697e+01 1.289373272552191096e+01 5.521561343571799618e+00
5.899819727554787896e+00 5.937548726927158960e+00 1.101546998866193761e+01 1.030376757864550719e+01 1.040377039600244302e+01 1.276386786971739795e+01
1.007555027616625409e+01 1.035027811457052671e+01 1.284855680119010302e+01 8.851944334831280514e+00 8.201414050293337255e+00 4.115491816116735535e+00
9.642202855451033727e+00 8.360224441203431667e+00 1.651807587397869526e+01 1.143062810158538056e+01 9.616215592303115400e+00 5.872780809653837863e+00
8.691172849944729606e+00 8.671177011785115241e+00 1.454183260333009287e+01 1.479951634714051067e+01 1.134597937563600922e+01 7.347620460030498180e+00
8.866031237643255736e+00 1.354191840882625364e+01 1.318632709052216256e+01 1.866121490654690618e+01 1.626337328250445324e+01 9.404475765264558973e+00
9.913603177938576039e+00 3.585029537012458078e+00 5.843557703483556409e+00 8.983362663643239543e+00 6.329096392085508782e+00 9.831830582336561264e+00
7.919036542205175166e+00 8.229916382761807370e+00 9.747618721371196671e+00 1.125584405408300448e+01 5.185549666840026717e+00 1.029133210455840519e+01
6.943157952724366311e+00 1.376797339207358561e+01 1.250632070582443589e+01 7.678083418046217190e+00 1.210100571278949033e+01 1.113796572569895993e+01
